,vocab,vocab_freq,vocab_df
343,thousand,246,43
344,separate,245,148
345,conjunction,244,219
346,understanding,243,182
347,several,241,123
348,maintain,240,166
349,nonmajor,240,100
350,growth,239,89
351,value,238,117
352,office,236,144
353,close,234,133
354,urban,233,118
355,share,233,105
356,library,232,64
357,improving,231,199
358,funded,231,125
359,nys,231,92
360,assistance,230,117
361,although,229,163
362,shortterm,228,144
363,previous,227,69
364,surplus,226,86
365,claims,225,89
366,better,223,172
367,currently,223,133
368,changed,221,175
369,introduction,219,171
370,yearend,219,112
371,constitutional,219,100
372,reserves,219,63
373,immediately,218,131
374,serial,217,113
375,main,216,117
376,compensation,216,106
377,past,216,88
378,purchase,215,105
379,consist,215,103
380,variance,215,74
381,like,213,143
382,based,213,119
383,need,211,137
384,area,209,119
385,progress,209,112
386,payment,208,122
387,fy,207,43
388,compare,205,142
389,present,205,131
390,appropriated,205,120
391,expected,204,93
392,issuance,203,111
393,agreement,203,92
394,expenditure,202,127
395,completed,202,104
396,essential,201,186
397,first,201,122
398,accordance,201,117
399,deteriorating,200,199
400,many,200,117
401,improvement,199,123
402,five,199,116
403,contract,199,90
404,private,198,124
405,pay,198,106
406,read,197,181
407,regardless,196,181
408,requests,196,128
409,concerning,195,136
410,savings,195,73
411,july,195,65
412,taxpayers,194,139
413,taxable,194,111
414,healthcare,192,35
415,investors,191,133
416,view,191,120
417,reconstruction,191,100
418,form,190,102
419,short,189,115
420,continues,189,92
421,reconciliation,188,166
422,external,188,120
423,credit,188,119
424,summary,188,113
425,broad,186,171
426,creditors,186,133
427,original,186,132
428,residents,186,61
429,components,185,145
430,generally,185,136
431,restrictions,185,126
432,needs,184,88
433,market,184,78
434,supported,183,142
435,maintenance,183,98
436,treatment,183,73
437,timing,182,143
438,recorded,182,122
439,established,181,117
440,workers,181,86
441,liquidate,180,152
442,meet,180,119
443,greater,180,91
444,estimated,179,107
445,sale,179,97
446,negative,178,94
447,experienced,178,82
448,park,177,75
449,plant,177,75
450,transfer,176,79
451,underlying,174,150
452,variances,174,70
453,higher,173,92
454,employment,173,84
455,contact,172,136
456,intergovernmental,172,132
457,category,172,96
458,combining,172,83
459,privatesector,171,157
460,associated,171,117
461,comptroller,171,109
462,excess,171,106
463,shown,170,101
464,nonproperty,170,89
465,show,169,113
466,throughout,169,104
467,nonspendable,169,85
468,indebtedness,168,93
469,decisions,167,161
470,condition,167,114
471,key,167,105
472,moody,167,101
473,us,167,100
474,levels,167,73
475,trustee,166,107
476,along,166,104
477,industrial,166,77
478,amounted,165,117
479,figure,165,43
480,event,164,139
481,schedule,164,101
482,departments,163,105
483,md,162,99
484,help,162,77
485,receipts,161,64
486,financed,160,108
487,still,159,139
488,rise,158,151
489,works,158,97
490,understand,157,141
491,areas,157,99
492,approved,157,98
493,encumbrances,157,85
494,known,156,112
495,municipal,156,94
496,staff,156,62
497,proceeds,155,74
498,thus,154,129
499,issue,154,106
500,bonded,154,98
501,maintained,154,93
502,north,154,50
503,repay,153,152
504,compensated,153,105
505,vehicles,153,101
506,please,152,127
507,modified,152,120
508,shows,152,105
509,providing,152,95
510,miscellaneous,152,88
511,reduction,151,90
512,planning,151,59
513,objectives,150,150
514,near,150,119
515,user,150,112
516,amended,150,97
517,periods,149,129
518,utility,148,88
519,incurred,148,83
520,way,148,72
521,refuse,148,61
522,onetime,148,44
523,unit,147,94
524,common,147,64
525,financerelated,146,105
526,absences,146,103
527,see,146,90
528,work,146,86
529,provisions,146,71
530,soon,145,144
531,manner,145,128
532,airport,145,26
533,companies,144,99
534,significantly,144,86
535,purchases,144,73
536,segregated,143,143
537,permits,143,73
538,represented,143,68
539,valuation,142,123
540,parks,142,83
541,mortgage,142,81
542,center,142,63
543,consequently,140,140
544,oneida,140,7
545,principally,139,107
546,capacity,139,104
547,totaling,139,81
548,occurs,138,137
549,acquire,138,135
550,businesses,138,57
551,act,138,41
552,accountability,137,135
553,showing,137,131
554,addressed,137,118
555,reader,137,80
556,imposed,137,74
557,policy,137,69
558,giving,136,136
559,differences,136,110
560,watertown,136,8
561,single,135,113
562,schedules,135,85
563,legislation,135,79
564,authorized,135,72
565,chief,134,123
566,versus,134,54
567,municipalities,133,88
568,reduced,133,85
569,parties,132,125
570,spent,132,94
571,union,132,62
572,narrower,131,116
573,essentially,131,113
574,eg,131,97
575,excluding,131,71
576,golf,131,26
577,assessed,130,74
578,conservative,130,50
579,wide,129,90
580,collection,129,72
581,rather,128,85
582,plans,127,74
583,contracts,127,72
584,care,127,71
585,divided,126,126
586,assessing,126,118
587,earned,126,112
588,amendments,126,101
589,large,126,76
590,maintaining,126,52
591,standards,125,86
592,recognized,125,75
593,joint,125,29
594,streets,124,89
595,ongoing,124,84
596,fema,124,38
597,located,122,84
598,added,122,71
599,waste,122,60
600,facilitate,121,120
601,contains,121,101
602,majority,121,66
603,laws,121,63
604,accrued,121,53
605,method,120,90
606,beginning,120,65
607,converted,119,99
608,opportunity,119,89
609,per,119,73
610,source,118,86
